87	"Kelowna"	"Kelowna"	"Canada"	"YLW"
88	"Mayo"	"Mayo"	"Canada"	"YMA"
89	"Moose Jaw Air Vice Marshal C M Mcewen"	"Moose Jaw"	"Canada"	"YMJ"
90	"Fort Mcmurray"	"Fort Mcmurray"	"Canada"	"YMM"
91	"Moosonee"	"Moosonee"	"Canada"	"YMO"
92	"Maniwaki"	"Maniwaki"	"Canada"	"YMW"
93	"Montreal Intl Mirabel"	"Montreal"	"Canada"	"YMX"
94	"Natashquan"	"Natashquan"	"Canada"	"YNA"
95	"Gatineau"	"Gatineau"	"Canada"	"YND"
96	"Matagami"	"Matagami"	"Canada"	"YNM"
97	"Old Crow"	"Old Crow"	"Canada"	"YOC"
98	"Cold Lake"	"Cold Lake"	"Canada"	"YOD"
99	"High Level"	"High Level"	"Canada"	"YOJ"
100	"Ottawa Macdonald Cartier Intl"	"Ottawa"	"Canada"	"YOW"
101	"Prince Albert Glass Field"	"Prince Albert"	"Canada"	"YPA"
102	"Peace River"	"Peace River"	"Canada"	"YPE"
103	"Southport"	"Portage-la-prairie"	"Canada"	"YPG"
104	"Pitt Meadows"	"Pitt Meadows"	"Canada"	""
105	"Pickle Lake"	"Pickle Lake"	"Canada"	"YPL"
106	"Port Menier"	"Port Menier"	"Canada"	"YPN"
107	"Peterborough"	"Peterborough"	"Canada"	"YPQ"
108	"Prince Rupert"	"Prince Pupert"	"Canada"	"YPR"
109	"Fort Chipewyan"	"Fort Chipewyan"	"Canada"	"YPY"
110	"Muskoka"	"Muskoka"	"Canada"	"YQA"
111	"Quebec Jean Lesage Intl"	"Quebec"	"Canada"	"YQB"
112	"Red Deer Regional"	"Red Deer Industrial"	"Canada"	"YQF"
113	"Windsor"	"Windsor"	"Canada"	"YQG"
114	"Watson Lake"	"Watson Lake"	"Canada"	"YQH"
115	"Kenora"	"Kenora"	"Canada"	"YQK"
116	"Lethbridge"	"Lethbridge"	"Canada"	"YQL"
117	"Greater Moncton Intl"	"Moncton"	"Canada"	"YQM"
119	"Comox"	"Comox"	"Canada"	"YQQ"
120	"Regina Intl"	"Regina"	"Canada"	"YQR"
121	"Thunder Bay"	"Thunder Bay"	"Canada"	"YQT"
122	"Grande Prairie"	"Grande Prairie"	"Canada"	"YQU"
123	"Yorkton Muni"	"Yorkton"	"Canada"	"YQV"
124	"North Battleford"	"North Battleford"	"Canada"	"YQW"
125	"Gander Intl"	"Gander"	"Canada"	"YQX"
126	"Sydney"	"Sydney"	"Canada"	"YQY"
127	"Quesnel"	"Quesnel"	"Canada"	"YQZ"
128	"Resolute Bay"	"Resolute"	"Canada"	"YRB"
129	"Riviere Du Loup"	"Riviere Du Loup"	"Canada"	"YRI"
130	"Roberval"	"Roberval"	"Canada"	"YRJ"
131	"Rocky Mountain House"	"Rocky Mountain House"	"Canada"	"YRM"
132	"Rankin Inlet"	"Rankin Inlet"	"Canada"	"YRT"
133	"Sudbury"	"Sudbury"	"Canada"	"YSB"
134	"Sherbrooke"	"Sherbrooke"	"Canada"	"YSC"
135	"Saint John"	"St. John"	"Canada"	"YSJ"
136	"Fort Smith"	"Fort Smith"	"Canada"	"YSM"
137	"Nanisivik"	"Nanisivik"	"Canada"	"YSR"
138	"Summerside"	"Summerside"	"Canada"	"YSU"
139	"Sachs Harbour"	"Sachs Harbour"	"Canada"	"YSY"
140	"Cape Dorset"	"Cape Dorset"	"Canada"	"YTE"
141	"Thompson"	"Thompson"	"Canada"	"YTH"
142	"Trenton"	"Trenton"	"Canada"	"YTR"
143	"Timmins"	"Timmins"	"Canada"	"YTS"
144	"City Centre"	"Toronto"	"Canada"	"YTZ"
145	"Tuktoyaktuk"	"Tuktoyaktuk"	"Canada"	"YUB"
146	"Pierre Elliott Trudeau Intl"	"Montreal"	"Canada"	"YUL"
147	"Repulse Bay"	"Repulse Bay"	"Canada"	"YUT"
148	"Hall Beach"	"Hall Beach"	"Canada"	"YUX"
149	"Rouyn Noranda"	"Rouyn"	"Canada"	"YUY"
150	"La Ronge"	"La Ronge"	"Canada"	"YVC"
151	"Vermilion"	"Vermillion"	"Canada"	"YVG"
152	"Qikiqtarjuaq"	"Broughton Island"	"Canada"	"YVM"
153	"Val D Or"	"Val D'or"	"Canada"	"YVO"
154	"Kuujjuaq"	"Quujjuaq"	"Canada"	"YVP"
155	"Norman Wells"	"Norman Wells"	"Canada"	"YVQ"
156	"Vancouver Intl"	"Vancouver"	"Canada"	"YVR"
157	"Buffalo Narrows"	"Buffalo Narrows"	"Canada"	"YVT"
158	"Wiarton"	"Wiarton"	"Canada"	"YVV"
159	"Petawawa"	"Petawawa"	"Canada"	"YWA"
160	"Winnipeg Intl"	"Winnipeg"	"Canada"	"YWG"
161	"Wabush"	"Wabush"	"Canada"	"YWK"
162	"Williams Lake"	"Williams Lake"	"Canada"	"YWL"
163	"Wrigley"	"Wrigley"	"Canada"	"YWY"
164	"Canadian Rockies Intl"	"Cranbrook"	"Canada"	"YXC"
165	"Edmonton City Centre"	"Edmonton"	"Canada"	"YXD"
166	"Saskatoon J G Diefenbaker Intl"	"Saskatoon"	"Canada"	"YXE"
167	"Medicine Hat"	"Medicine Hat"	"Canada"	"YXH"
168	"Fort St John"	"Fort Saint John"	"Canada"	"YXJ"
169	"Sioux Lookout"	"Sioux Lookout"	"Canada"	"YXL"
170	"Pangnirtung"	"Pangnirtung"	"Canada"	"YXP"
171	"Timiskaming Rgnl"	"Earlton"	"Canada"	"YXR"
172	"Prince George"	"Prince George"	"Canada"	"YXS"
173	"Terrace"	"Terrace"	"Canada"	"YXT"
174	"London"	"London"	"Canada"	"YXU"
175	"Abbotsford"	"Abbotsford"	"Canada"	"YXX"
176	"Whitehorse Intl"	"Whitehorse"	"Canada"	"YXY"
177	"North Bay"	"North Bay"	"Canada"	"YYB"
178	"Calgary Intl"	"Calgary"	"Canada"	"YYC"
179	"Smithers"	"Smithers"	"Canada"	"YYD"
180	"Fort Nelson"	"Fort Nelson"	"Canada"	"YYE"
181	"Penticton"	"Penticton"	"Canada"	"YYF"
182	"Charlottetown"	"Charlottetown"	"Canada"	"YYG"
183	"Taloyoak"	"Spence Bay"	"Canada"	"YYH"
184	"Victoria Intl"	"Victoria"	"Canada"	"YYJ"
185	"Lynn Lake"	"Lynn Lake"	"Canada"	"YYL"
186	"Swift Current"	"Swift Current"	"Canada"	"YYN"
187	"Churchill"	"Churchill"	"Canada"	"YYQ"
188	"Goose Bay"	"Goose Bay"	"Canada"	"YYR"
189	"St Johns Intl"	"St. John's"	"Canada"	"YYT"
190	"Kapuskasing"	"Kapuskasing"	"Canada"	"YYU"
191	"Armstrong"	"Armstrong"	"Canada"	"YYW"
192	"Mont Joli"	"Mont Joli"	"Canada"	"YYY"
193	"Lester B Pearson Intl"	"Toronto"	"Canada"	"YYZ"
194	"Downsview"	"Toronto"	"Canada"	"YZD"
195	"Gore Bay Manitoulin"	"Gore Bay"	"Canada"	"YZE"
196	"Yellowknife"	"Yellowknife"	"Canada"	"YZF"
197	"Slave Lake"	"Slave Lake"	"Canada"	"YZH"
198	"Sandspit"	"Sandspit"	"Canada"	"YZP"
199	"Chris Hadfield"	"Sarnia"	"Canada"	"YZR"
200	"Port Hardy"	"Port Hardy"	"Canada"	"YZT"
201	"Whitecourt"	"Whitecourt"	"Canada"	"YZU"
202	"Sept Iles"	"Sept-iles"	"Canada"	"YZV"
203	"Teslin"	"Teslin"	"Canada"	"YZW"
204	"Greenwood"	"Greenwood"	"Canada"	"YZX"
205	"Faro"	"Faro"	"Canada"	"ZFA"
206	"Fort Mcpherson"	"Fort Mcpherson"	"Canada"	"ZFM"
207	"Blida"	"Blida"	"Algeria"	""
208	"Bou Saada"	"Bou Saada"	"Algeria"	""
209	"Soummam"	"Bejaja"	"Algeria"	"BJA"
210	"Houari Boumediene"	"Algier"	"Algeria"	"ALG"
